customer_key,customer_id,customer_number,first_name,last_name,country,martial_status,new_gen,bithday,create_date
1,11000,AW00011000,JON,YANG,Australia,Married,Male,06-10-1971,06-10-2025
2,11001,AW00011001,EUGENE,HUANG,Australia,Single,Male,10-05-1976,06-10-2025
3,11002,AW00011002,RUBEN,TORRES,Australia,Married,Male,09-02-1971,06-10-2025
4,11003,AW00011003,CHRISTY,ZHU,Australia,Single,Female,14-08-1973,06-10-2025
5,11004,AW00011004,ELIZABETH,JOHNSON,Australia,Single,Female,05-08-1979,06-10-2025
6,11005,AW00011005,JULIO,RUIZ,Australia,Single,Male,01-08-1976,06-10-2025
7,11006,AW00011006,JANET,ALVAREZ,Australia,Single,Female,02-12-1976,06-10-2025
8,11007,AW00011007,MARCO,MEHTA,Australia,Married,Male,06-11-1969,06-10-2025
9,11008,AW00011008,ROB,VERHOFF,Australia,Single,Female,04-07-1975,06-10-2025
10,11009,AW00011009,SHANNON,CARLSON,Australia,Single,Male,29-09-1969,06-10-2025
11,11010,AW00011010,JACQUELYN,SUAREZ,Australia,Single,Female,05-08-1969,06-10-2025
12,11011,AW00011011,CURTIS,LU,Australia,Married,Male,03-05-1969,06-10-2025
13,11012,AW00011012,LAUREN,WALKER,United States,Married,Female,14-01-1979,06-10-2025
14,11013,AW00011013,IAN,JENKINS,United States,Married,Male,03-08-1979,06-10-2025
15,11014,AW00011014,SYDNEY,BENNETT,United States,Single,Female,06-11-1973,06-10-2025
16,11015,AW00011015,CHLOE,YOUNG,United States,Single,Female,26-08-1984,06-10-2025
17,11016,AW00011016,WYATT,HILL,United States,Married,Male,25-10-1984,07-10-2025
18,11017,AW00011017,SHANNON,WANG,Australia,Single,Female,24-12-1949,07-10-2025
19,11018,AW00011018,CLARENCE,RAI,Australia,Single,Male,06-10-1955,07-10-2025
20,11019,AW00011019,LUKE,LAL,Canada,Single,Male,04-09-1983,07-10-2025
21,11020,AW00011020,JORDAN,KING,Canada,Single,Male,19-03-1984,07-10-2025
22,11021,AW00011021,DESTINY,WILSON,United States,Single,Female,02-03-1984,07-10-2025
23,11022,AW00011022,ETHAN,ZHANG,United States,Married,Male,10-04-1984,07-10-2025
24,11023,AW00011023,SETH,EDWARDS,United States,Married,Male,09-04-1984,07-10-2025
25,11024,AW00011024,RUSSELL,XIE,United States,Married,Male,16-03-1984,07-10-2025
26,11025,AW00011025,ALEJANDRO,BECK,Australia,Married,Male,22-06-1951,07-10-2025
27,11026,AW00011026,HAROLD,SAI,Australia,Single,Male,01-10-1951,07-10-2025
28,11027,AW00011027,JESSIE,ZHAO,Australia,Married,Male,05-06-1952,07-10-2025
29,11028,AW00011028,JILL,JIMENEZ,Australia,Married,Female,09-10-1951,07-10-2025
30,11029,AW00011029,JIMMY,MORENO,Australia,Married,Male,19-06-1952,07-10-2025
31,11030,AW00011030,BETHANY,YUAN,Australia,Married,Female,18-02-1958,07-10-2025
32,11031,AW00011031,THERESA,RAMOS,Australia,Married,Female,18-02-1953,07-10-2025
33,11032,AW00011032,DENISE,STONE,Australia,Married,Female,08-12-1952,07-10-2025
34,11033,AW00011033,JAIME,NATH,Australia,Married,Male,19-09-1958,07-10-2025
